FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TASK ORGANIZATION DESIGNATOR; ; ;1037/001;1-20;X
2 M;UNIT; ; ;1022/057;1-30;X
3 M;COMMUNICATION LINE NUMBER; ;A;1012/116;3-7;AN
;PRIMARY FREQUENCY; ;B;2064/003;3-14;ANS
4 M;UNIT; ; ;1022/057;1-30;X
5 M;COMMUNICATION LINE NUMBER; ;A;1012/116;3-7;AN
;SECONDARY FREQUENCY; ;B;2064/004;3-14;ANS
6 M;UNIT; ; ;1022/057;1-30;X
7 M;COMMUNICATION LINE NUMBER; ;A;1012/116;3-7;AN
;SHIP-SHORE FREQUENCY; ;B;2064/014;3-14;ANS
8 M;SHIP-SHORE KEYMAT; ; ;1078/006;8-10;AN
