FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;PATIENT CLASSIFICATION;1;CLASS; ; ;1282/002;1-2;AN;L
2 M;NUMBER OF PATIENTS, 1-999;7;NBR; ; ;1044/157;1-3;N;R
3 M;PERSONNEL GENDER;11;SEX; ; ;1286/002;4-6;A;L
4 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;18;EMBARK; ;A;2023/001;11;AN;L
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;null;EMBARK; ;B;2024/001;15;AN;L
;GEOGRAPHIC POSITION, UTM 100-METRE;null;EMBARK; ;C;2087/001;11;AN;L
;GEOGRAPHIC POSITION, UTM 10-METRE;null;EMBARK; ;D;2086/001;13;AN;L
;GEOGRAPHIC POSITION, GEOREF, MINUTE;null;EMBARK; ;E;2017/001;8;AN;L
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;null;EMBARK; ;F;2018/001;12;AN;L
;ICAO LOCATION IDENTIFIER;null;EMBARK; ;G;1125/001;4;AN;L
;LOCATION OR POSITION NAME;null;EMBARK;N;H;1022/006;1-15;X;L
5 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;36;DEBARK; ;A;2023/001;11;AN;L
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;null;DEBARK; ;B;2024/001;15;AN;L
;GEOGRAPHIC POSITION, UTM 100-METRE;null;DEBARK; ;C;2087/001;11;AN;L
;GEOGRAPHIC POSITION, UTM 10-METRE;null;DEBARK; ;D;2086/001;13;AN;L
;GEOGRAPHIC POSITION, GEOREF, MINUTE;null;DEBARK; ;E;2017/001;8;AN;L
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;null;DEBARK; ;F;2018/001;12;AN;L
;ICAO LOCATION IDENTIFIER;null;DEBARK; ;G;1125/001;4;AN;L
;LOCATION OR POSITION NAME;null;DEBARK;N;H;1022/006;1-15;X;L
