FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DAY-TIME OF RENDEZVOUS, VERIFIED; ;A;2013/063;8;AN
;DTG, VERIFIED, 4-DIGIT YEAR; ;B;2034/001;15;AN
;DATE-TIME MONTH, VERIFIED; ;C;2032/001;11;AN
;DAY-TIME AND MONTH; ;D;2030/001;10;AN
2 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;2043/001;14;ANS
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;B;2023/001;11;AN
;RENDEZVOUS POSITION, PLACE NAME;NAME;C;1022/112;1-38;X
;BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;D;2307/001;10-27;X
* 3 M;UNIT BEING JOINED; ;A;1022/113;1-38;X
;NAVAL TASK DESIGNATOR OF UNIT BEING JOINED;NTD;B;2143/004;3-15;ANS
* 4 M;UNIT JOINING; ;A;1022/114;1-38;X
;NAVAL TASK DESIGNATOR OF UNIT JOINING;NTD;B;2143/005;3-15;ANS
* 5 O;FLIGHT LEVEL; ;A;2129/001;5;AN
;MARITIME ALTITUDE IN HUNDREDS OF FEET; ;B;2164/001;6;AN
