FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;GEODETIC DATUM; ; ;1195/001;3-25;X
* 2 M;GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;A;2044/001;18;ANS
;GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED; ;B;2200/001;22;ANS
;GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED; ;C;2201/001;22;ANS
;PLACE NAME;N;D;1022/170;1-20;X
;VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT; ;E;2202/001;11-36;X
;Q-ROUTE POSITION;POSIT;F;2203/001;7-13;ANS
;GEOGRAPHIC POSITION, UTM 1,000-METRE; ;G;2088/001;9;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;H;2087/001;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;I;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 1-METRE; ;J;2089/001;15;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;K;2019/001;6;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE; ;L;2017/001;8;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;M;2020/001;10;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;N;2018/001;12;AN
