FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;MINEFIELD DESIGNATOR; ; ;1012/090;4-6;N
2 M;NAVAL SHIP TYPE; ;A;1036/003;2-4;A
;AIRCRAFT TYPE/MODEL; ;B;1015/004;2-6;AN
3 M;NAVIGATION METHOD; ; ;1486/001;2-10;AB
4 M;DAY-TIME OF COMPLETION, VERIFIED; ;A;2013/041;8;AN
;DAY-TIME OF COMPLETION; ;B;2000/040;7;AN
;DATE-TIME MONTH OF COMPLETION, VERIFIED; ;C;2032/012;11;AN
;DAY-TIME AND MONTH OF COMPLETION; ;D;2030/030;10;AN
;MONTH DAY-TIME OF COMPLETION; ;E;2251/002;9;AN
5 M;DAY-TIME OF ACTIVATION, VERIFIED; ;A;2013/047;8;AN
;DAY-TIME OF ACTIVATION; ;B;2000/026;7;AN
;DATE-TIME MONTH OF ACTIVATION VERIFIED; ;C;2032/013;11;AN
;DAY-TIME AND MONTH OF ACTIVATION; ;D;2030/031;10;AN
;MONTH DAY-TIME OF ACTIVATION; ;E;2251/003;9;AN
6 M;DAY-TIME OF DEACTIVATION, VERIFIED; ;A;2013/048;8;AN
;DAY-TIME OF DEACTIVATION; ;B;2000/051;7;AN
;DATE-TIME MONTH OF DEACTIVATION, VERIFIED; ;C;2032/014;11;AN
;DAY-TIME AND MONTH OF DEACTIVATION; ;D;2030/032;10;AN
;MONTH DAY-TIME OF DEACTIVATION; ;E;2251/004;9;AN
7 M;MINE RESEEDING INDICATOR; ; ;1152/001;2;AN
