FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;CIRCUIT TITLE; ; ;1022/142;1-30;X
2 M;UNIT; ;A;1022/057;1-30;X
;NAVAL TASK DESIGNATOR;NTD;B;2143/002;3-15;ANS
3 M;COMMUNICATIONS CIRCUIT DESIGNATOR; ;A;1305/002;5-8;AN
;COMMUNICATION LINE NUMBER;LINE;B;1012/116;3-7;AN
;RADIO FREQUENCY; ;C;2064/001;3-14;ANS
4 M;DAY-TIME OF START, VERIFIED; ;A;2013/008;8;AN
;DATE-TIME MONTH OF START, VERIFIED; ;B;2032/003;11;AN
5 M;NET CONTROL STATION NAME; ; ;1022/147;1-38;X
6 M;PRIMARY BROADCAST KEYMAT; ; ;1078/002;8-10;AN
7 M;DAY-TIME OF ZERO START, VERIFIED; ; ;2013/025;8;AN
