FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;PRIMARY/ALTERNATE TARGET DESIGNATOR; ; ;1076/013;1;A
2 O;DAY-TIME AND MONTH TASKED ON TARGET;TOT;A;2030/041;10;AN
;DAY-TIME ON TARGET TO THE SECOND, ZULU;TOTS;B;2483/002;9;AN
3 C;NOT EARLIER THAN DAY-TIME AND MONTH;NET; ;2030/046;10;AN
4 C;NOT LATER THAN DAY-TIME;NLT;A;2000/087;7;AN
;DAY-TIME AND MONTH OFF TARGET;TOF;B;2030/042;10;AN
5 M;TARGET/FACILITY NAME; ; ;1022/234;1-38;X
6 O;TARGET POSITION IDENTIFIER;ID; ;1416/002;1-20;X
7 M;NON-SHIP TARGET TYPE; ;A;1650/006;2-6;A
;SHIP TARGET TYPE; ;B;1036/011;2-6;A
8 O;DESIRED MEAN POINT OF IMPACT DESCRIPTION; ; ;1363/044;1-30;X
9 O;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;DMPIS;A;2024/001;15;AN
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;DMPIM;B;2023/001;11;AN
;LOCATION, DECISECONDS;DMPID;C;2187/001;19;ANS
;GEOGRAPHIC LOCATION, LAT/LONG, CENTISECONDS;DMPIC;D;2488/001;19;AN
;GEOGRAPHIC POSITION, LAT/LONG, THOUSANDTHS OF MINUTE;DMPIK;E;2496/001;19;ANS
;GEOGRAPHIC POSITION, LAT/LONG TEN THOUSANDTHS OF MINUTE;DMPIT;F;2489/001;21;ANS
10 C;GEODETIC DATUM; ; ;1195/001;3-25;X
11 O;DESIRED MEAN POINT OF IMPACT ELEVATION IN FEET OR METRES; ; ;2492/002;2-9;ANS
12 O;COMPONENT TARGET IDENTIFIER; ; ;1416/005;1-12;X
13 O;TARGET PRIORITY, LITERAL; ; ;1076/011;1-5;AN
14 O;ADDITIONAL TARGET IDENTIFICATION FEATURES; ; ;1357/023;1-20;X
