FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TARGET CATEGORY CODE; ; ;1309/002;2;N
2 M;TARGET CATEGORY DESIGNATOR; ; ;1309/004;5-29;ABS
3 M;TARGET ELEMENT DESCRIPTION; ;A;1363/007;1-20;X
;EQUIPMENT TYPE;EQPT;B;1135/001;1-20;X
4 M;NUMBER OF TARGET ELEMENTS; ; ;1044/083;1-4;N
5 O;GEOGRAPHICAL ENTITY; ; ;1026/001;2;A
6 M;TARGET POSITION, LAT/LONG, SECONDS; ;A ;2024/026;15;AN
;TARGET POSITION, LAT/LONG, MINUTES; ;B ;2023/043;11;AN
;TARGET POSITION, UTM 100-METRE; ;C ;2087/024;11;AN
;TARGET POSITION, UTM 1,000-METRE; ;D ;2088/024;9;AN
;TARGET POSITION, TRUE BEARING AND DISTANCE IN NM; ;E ;2016/031;6-46;X
;ACTIVITY LOCATION NAME;N;F;1022/103;1-20;X
7 M;TARGET ACTIVITY DESCRIPTION; ; ;1299/015;1-20;AB
8 M;DAY-TIME OF POSITION; ;A ;2000/018;7;AN
;DAY-TIME OF POSITION, VERIFIED; ;B ;2013/007;8;AN
9 O;TARGET COURSE IN DEGREES; ;A;2065/014;4;AN
;DIRECTION OF MOVEMENT (COMPASS POINT); ;B ;1161/001;1-3;A
10 O;TARGET SPEED; ;A ;2063/002;4-7;ANS
;SPEED QUALIFIER; ;B;1672/001;3-4;A
