FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TITLE; ; ;1356/001;1-54;X
2 M;GEOGRAPHICAL ENTITY; ;A;1026/001;2;A
;STATE/PROVINCE/DISTRICT; ;B;1711/002;4;AN
3 M;PLACE NAME, EXPANDED; ; ;1022/261;1-54;X
4 M;GEOGRAPHIC POSITION, LAT/LONG, DEGREES; ;A;2022/001;7;AN
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;B;2023/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;C;2024/001;15;AN
;GEOGRAPHIC POSITION, UTM 1,000-METRE; ;D;2088/001;9;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;E;2087/001;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;F;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 1-METRE; ;G;2089/001;15;AN
;BEARING AND DISTANCE FROM REFERENCE POINT; ;H;2157/001;9-54;X
;TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;I;2016/001;6-46;X
5 O;GEODETIC DATUM; ; ;1195/001;3-25;X
6 M;START DATE, YYYYMMDD; ;A;2053/004;8;N
;START DATE-TIME, YYYYMMDDHHMM; ;B;2416/003;12;N
;DTG OF START, 4 DIGIT YR; ;C;2033/029;14;AN
7 M;END DATE, YYYYMMDD; ;A;2053/005;8;N
;END DATE-TIME, YYYYMMDDHHMM; ;B;2416/004;12;N
;DTG OF STOP, 4 DIGIT YR; ;C;2033/030;14;AN
