FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;REQUEST LOCATION; ; ;1284/006;4-8;A
2 M;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;A;2018/001;12;AN
;ACTIVITY LOCATION, LAT/LONG, SECONDS; ;B;2024/029;15;AN
;ACTIVITY LOCATION, UTM 10-METRE; ;C;2086/041;13;AN
;ACTIVITY LOCATION, LAT/LONG, MINUTES; ;D;2023/045;11;AN
;ACTIVITY LOCATION, UTM 100-METRE; ;E;2087/047;11;AN
;ACTIVITY LOCATION, UTM 1,000-METRE; ;F;2088/006;9;AN
3 C;TARGET RADIUS, FT, YD, SM, NM, M, KM, HF;RAD;A;2178/002;2-7;ANS
;TARGET WIDTH, FT, YD, SM, NM, M, KM, HF;WDTH;B;2179/002;2-7;ANS
;ELLIPTICAL TARGET AREA;ELP;C;2180/002;11-23;ANS
4 O;ELEVATION IN METRES; ; ;1344/002;1-4;NS
5 O;DAY-TIME AND MONTH; ; ;2030/001;10;AN
* 6 C;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;A;2018/001;12;AN
;ACTIVITY LOCATION, LAT/LONG, SECONDS; ;B;2024/029;15;AN
;ACTIVITY LOCATION, UTM 10-METRE; ;C;2086/041;13;AN
;ACTIVITY LOCATION, LAT/LONG, MINUTES; ;D;2023/045;11;AN
;ACTIVITY LOCATION, UTM 100-METRE; ;E;2087/047;11;AN
;ACTIVITY LOCATION, UTM 1,000-METRE; ;F;2088/006;9;AN
