FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;FLIGHT LEVEL; ; ;2129/001;5;AN
2 M;WIND DIRECTION, DEGREES TRUE; ;A;2261/001;4;AN
;WIND DIRECTION QUALIFIER; ;B;1130/005;3;AN
3 M;SPEED OF ADVANCE, KNOTS; ; ;2265/005;4-7;ANS
4 M;VISIBILITY, METRES, KILOMETRES OR NAUTICAL MILES; ; ;2271/001;2-7;ANS
5 M;WMO SIGNIFICANT PRESENT AND FORECAST WEATHER CODES;WMO;A;1386/007;2-7;A
;MOST SIGNIFICANT WEATHER CODE; ;B;1386/008;1-3;A
6 M;AMOUNT OF TURBULENCE; ; ;1386/003;3;A
7 M;CLOUD COVER; ; ;1387/001;1;N
8 M;CLOUD TYPE; ; ;1388/001;2;A
9 M;CLOUD BASE ALTITUDE IN HUNDREDS OF FEET;BASE; ;1255/006;3;N
10 M;CLOUD TOP ALTITUDE IN HUNDREDS OF FEET;TOP; ;1255/007;3;N
11 M;TEMPERATURE, DEGREES CELSIUS OR FAHRENHEIT; ; ;2131/001;2-6;ANS
12 M;ATMOSPHERIC PRESSURE IN HECTOPASCAL; ;A;1087/006;4;N
;BAROMETRIC PRESSURE IN INCHES OF MERCURY; ;B;1087/005;5;NS
13 O;SEA WAVE HEIGHT, FEET OR METRES; ; ;2132/002;2-5;AN
14 O;WAVE DIRECTION, DEGREES TRUE, MAGNETIC, GRID OR RELATIVE; ; ;2262/001;4;AN
15 O;SEA STATE; ; ;1392/001;1;N
