FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;MISSION NUMBER;1;MSNNO; ; ;1012/069;1-8;X;L
2 O;ACTIVITY TYPE;10;ACTTYP; ; ;1299/001;1-8;A;L
3 C;TIME DESIGNATOR;19;TMEDES; ; ;1144/003;3-6;A;L
4 O;RELATIVE TIME (HOUR-MINUTE);26;TIME; ;A;2014/003;4;N;R
;DAY-TIME OF ACTIVITY;null;TIME; ;B;2000/072;7;AN;L
5 O;TYPE OF ACTIVITY;34;ACTTYP; ; ;1299/008;1-8;A;L
6 C;TIME DESIGNATOR;43;TMEDES; ; ;1144/003;3-6;A;L
7 O;RELATIVE TIME (HOUR-MINUTE);50;TIME; ;A;2014/003;4;N;R
;DAY-TIME OF ACTIVITY;null;TIME; ;B;2000/072;7;AN;L
8 O;TIME AMPLIFICATION COMMENT;58;CMNT; ; ;1357/011;1-11;X;L
