FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;MISSION NUMBER; ; ;1012/069;1-8;X
2 O;AIRLIFT MISSION NUMBER;AMC;A;1012/241;1-12;AN
;AIRCRAFT EVENT NUMBER;EVT;B;1012/023;3;N
3 M;PACKAGE IDENTIFICATION; ; ;1028/038;1-5;ANS
4 O;MISSION COMMANDER DESIGNATOR; ; ;1515/005;2;A
5 M;PRIMARY AERIAL MISSION TYPE; ; ;1285/031;2-6;AN
6 O;SECONDARY AERIAL MISSION TYPE; ; ;1285/032;2-6;AN
7 C;AIR ALERT STATUS; ; ;1798/002;2-3;AN
8 O;ICAO BASE CODE;DEPLOC;A;1125/002;4;AN
;PLACE NAME;DEPNAME;B;1022/170;1-20;X
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;DEPLATM;C;2023/001;11;AN
;GEOGRAPHIC POSITION, UTM 100-METRE;DEPUTMO;D;2087/001;11;AN
* 9 C;ICAO BASE CODE;ARRLOC;A;1125/002;4;AN
;PLACE NAME;ARRNAME;B;1022/170;1-20;X
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;ARRLATM;C;2023/001;11;AN
;GEOGRAPHIC POSITION, UTM 100-METRE;ARRUTMO;D;2087/001;11;AN
