FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;PERSONNEL CATEGORY AND GENDER;1;CATEGORY; ; ;1286/009;7-8;AS;L
2 M;NUMBER AUTHORIZED;10;WARAUTH; ; ;1044/257;1-7;N;R
3 M;EFFECTIVE STRENGTH;18;EFFSTR; ; ;1044/258;1-7;N;R
4 M;NUMBER ATTACHED;26;ATTACH; ; ;1044/259;1-6;N;R
5 M;NUMBER DETACHED;33;DETACH; ; ;1044/260;1-6;N;R
6 M;NUMBER OF DEAD;40;DEAD; ; ;1044/261;1-5;N;R
7 M;NUMBER OF INCAPACITATED;46;INCAP; ; ;1044/262;1-5;N;R
8 M;NUMBER OF MISSING;52;MISS; ; ;1044/263;1-5;N;R
9 M;NUMBER OF OWN POW;58;O-POW; ; ;1044/264;1-5;N;R
10 M;NUMBER OF ENEMY POW;64;E-POW; ; ;1044/265;1-5;N;R
