FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;OBSTRUCTION TYPE; ; ;1270/001;4-8;A
2 O;NUMBER OF OBSTRUCTIONS; ; ;1044/319;1-2;N
* 3 O;GEOGRAPHIC POSITION, UTM 10-METRE; ;A;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;B;2087/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;C;2024/001;15;AN
* 4 O;APPROXIMATE HEIGHT ABOVE GROUND IN METRES; ;A;1651/007;1-3;N
;HEIGHT IN FEET;FT;B;1581/001;1-9;N
* 5 O;DEPTH BELOW SURFACE IN METRES; ; ;1247/007;1-4;N
* 6 O;WIDTH IN METRES, 1-99999; ; ;1658/006;1-5;N
* 7 O;LENGTH IN METRES, 1-99999; ; ;1657/007;1-5;N
