FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;UNIT DESIGNATION NAME; ; ;1022/039;1-15;ANS
2 M;UNIT SIZE INDICATOR; ; ;1045/004;1-7;A
3 M;GEOGRAPHICAL ENTITY; ; ;1026/001;2;A
4 M;UNIT ROLE INDICATOR CODE 'A'; ; ;1311/002;2-6;A
5 M;UNIT ROLE INDICATOR CODE 'B'; ; ;1311/003;2-6;A
6 M;UNIT ROLE INDICATOR CODE 'C'; ; ;1311/004;2-6;A
7 M;UNIT ROLE INDICATOR CODE 'D'; ; ;1311/005;2-6;A
8 M;HIGHER FORMATION NAME; ; ;1022/040;1-15;ANS
9 M;ARMED SERVICE; ;A ;1107/001;1;A
;CIVILIAN AGENCY CODE; ;B ;1507/001;2-8;A
10 C;UNIT IDENTIFICATION CODE (UIC); ; ;2141/001;7-9;AN
