FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SHIP IDENTIFICATION;ID;A;2021/001;4-10;X
;UNIT;SHIP;B;1022/057;1-30;X
;BASE NAME;BASE;C;1022/104;1-20;X
;PLACE NAME;PLACE;D;1022/170;1-20;X
;TASK ORGANIZATION COMMANDER;CDR;E;1037/003;1-20;X
;CALL SIGN;CS;F;1129/001;1-38;X
;STATION DESIGNATOR;STAT;G;1022/185;1-10;X
;UNIT DESIGNATION;UNIT;H;1028/026;1-35;X
;AIRCRAFT TYPE/MODEL;AC;I;1015/004;2-6;AN
;INTERFACE UNIT DESIGNATOR;IUD;J;2367/001;6-11;ANS
2 M;PRIMARY JTIDS UNIT (JU) ADDRESS; ;A;1625/021;5;N
;CRYPTO PUBLICATION LINE NUMBER; ;B;1012/181;4;N
3 M;NETWORK PARTICIPANT IDENTIFIER SEQUENCE NUMBER; ; ;1012/200;1-15;ANS
4 O;LINK 16 TRANSMISSION MODE; ; ;1181/004;2-4;A
5 O;POWER OUTPUT LEVEL; ; ;1649/002;4;N
6 O;UNIT USER TYPE; ; ;1644/002;3;A
7 O;INITIAL ENTRY UNIT TRANSMISSION INDICATOR; ; ;1359/019;1;A
8 O;TRACK NUMBER BLOCK ASSIGNMENT, NUMERIC; ;A;2363/001;11;NS
;TRACK NUMBER BLOCK ASSIGNMENT, TWO ALPHABETS; ;B;2364/001;11;ANS
;TRACK NUMBER BLOCK ASSIGNMENT, ALPHANUMERIC; ;C;2366/001;11;ANS
;TRACK NUMBER BLOCK ASSIGNMENT, NUMERIC-ALPHA; ;D;2369/001;11;ANS
* 9 O;NATO TRACK NUMBER ROOT; ; ;1012/219;2;A
* 10 O;RELAY ZONE INDICATOR; ; ;1012/202;1-2;N
* 11 O;SECONDARY JTIDS UNIT (JU) ADDRESS; ; ;1625/022;5;N
