FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;LINE REFERENCE NUMBER;1;LN; ; ;1348/003;2;N;R
2 M;CONSIGNEE, ARMED SERVICE;4;CONSIGNEE; ;A;1107/003;1;A;L
;CONSIGNEE;null;CONSIGNEE; ;B;1022/178;2-10;X;L
3 M;LOAD TYPE;15;TYPE; ; ;1173/001;3-6;A;L
4 C;NUMBER OF PIECES OF CARGO;22;QTY; ; ;1044/272;1-4;N;R
5 M;CARGO WEIGHT IN METRIC TONS;27;MTONS; ; ;1050/006;1-5;N;R
6 M;CARGO VOLUME IN CUBIC METRES;33;CUBE; ; ;1063/006;1-5;N;R
7 O;CARGO WEIGHT IN LONG TONS;39;LTONS; ; ;1167/002;1-5;N;R
8 O;CARGO VOLUME IN MEASUREMENT TONS;45;MEATN; ; ;1168/002;1-5;N;R
9 O;CARGO CONTAINER TYPE;51;CONTNR; ; ;1190/002;2-6;A;L
10 O;BARGE NUMBER;58;BARNO; ; ;1012/138;1-5;N;R
