FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;NATIONALITY; ; ;1026/002;2;A
2 M;ENTITY NAME; ; ;1022/150;1-35;X
3 M;ARMS CONTROL IDENTIFIER; ; ;2306/003;4-15;X
4 O;CFE UNIT RECORD NUMBER; ; ;2306/002;4-15;X
5 M;ECHELON OF COMMAND; ; ;1045/006;1-6;A
6 M;ARMED SERVICE CODE; ; ;1107/002;1;A
7 M;CFE ENTITY CODE; ; ;1503/001;1;A
8 M;CFE ENTITY MISSION TYPE CODE; ; ;1285/006;2-7;A
9 M;ACTIVE INDICATOR; ; ;1500/001;1;A
10 M;OBJECT OF VERIFICATION INDICATOR; ; ;1501/001;1;A
11 O;EFFECTIVE DATE OF CURRENT STATUS, DDMMYYYY; ; ;2052/003;8;N
