FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;MISSION TIMEFRAME;TFRM;A;1144/002;3-11;AN
;MISSION DESIGNATOR OF A SPECIFIC TIMEFRAME;DESTFRM;B;2112/001;5-20;X
* 2 M;DAY-TIME ON; ;A;2000/057;7;AN
;DAY-TIME ON, VERIFIED; ;B;2013/058;8;AN
;TIME QUALIFIER ON; ;C;1220/002;3-7;A
;DAY-TIME AND MONTH ON STATION; ;D;2030/009;10;AN
;TIME QUALIFIER AND DAY-TIME ON; ;E;2245/001;10-14;AN
* 3 O;DAY-TIME OFF; ;A;2000/058;7;AN
;DAY-TIME OFF, VERIFIED; ;B;2013/059;8;AN
;TIME QUALIFIER OFF; ;C;1220/003;3-7;A
;DAY-TIME AND MONTH OFF STATION; ;D;2030/010;10;AN
;TIME QUALIFIER AND DAY-TIME OFF; ;E;2246/001;10-14;AN
;TIME QUALIFIER UNTIL FURTHER NOTICE; ;F;1220/005;3;A
