FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 O;PICK-UP POINT CALL SIGN AND FREQUENCY; ; ;2051/002;5-50;X
2 O;DESTINATION CALL SIGN AND FREQUENCY; ; ;2051/003;5-50;X
3 O;BRIEFING CALL SIGN AND FREQUENCY; ; ;2051/004;5-50;X
4 O;BRIEFING LOCATION, UTM 10-METRE; ;A ;2086/052;13;AN
;BRIEFING LOCATION, UTM 100-METRE; ;B ;2087/052;11;AN
;BRIEFING LOCATION, UTM 1,000-METRE; ;C ;2088/035;9;AN
;BRIEFING LOCATION IDENTIFIER;ID;D;1261/005;1-20;X
;BRIEFING LOCATION NICKNAME;NN;E;1022/156;1-20;X
5 C;DEBRIEFING CALL SIGN AND FREQUENCY; ; ;2051/005;5-50;X
6 O;DEBRIEFING LOCATION, UTM 10-METRE; ;A ;2086/053;13;AN
;DEBRIEFING LOCATION, UTM 100-METRE; ;B ;2087/053;11;AN
;DEBRIEFING LOCATION, UTM 1,000-METRE; ;C ;2088/036;9;AN
;DEBRIEFING LOCATION IDENTIFIER;ID;D;1261/004;1-20;X
;DEBRIEFING LOCATION NICKNAME;NN;E;1022/157;1-20;X
