FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;HELICOPTER QUANTITY; ; ;1044/270;1-3;N
2 M;TRANSPORT OR UTILITY HELICOPTER TYPE; ; ;1015/013;2-6;AN
3 M;HELICOPTER TASK DESCRIPTION; ; ;1363/011;1-20;X
4 M;PICK-UP POINT, UTM 10-METRE; ;A ;2086/050;13;AN
;PICK-UP POINT, UTM 100-METRE; ;B ;2087/050;11;AN
;PICK-UP POINT, UTM 1,000-METRE; ;C ;2088/033;9;AN
;PICK-UP POINT IDENTIFIER;ID;D ;1261/003;1-20;X
;PICK-UP POINT NICKNAME;N;E;1022/154;1-20;X
5 M;DESTINATION OR RECCE TARGET LOCATION, UTM 10-METRE; ;A ;2086/051;13;AN
;DESTINATION OR RECCE TARGET LOCATION, UTM 100-METRE; ;B ;2087/051;11;AN
;DESTINATION OR RECCE TARGET LOCATION, UTM 1,000-METRE; ;C ;2088/034;9;AN
;DESTINATION OR RECCE TARGET IDENTIFIER;ID;D ;1261/002;1-20;X
;DESTINATION OR RECCE TARGET NICKNAME;N;E;1022/155;1-20;X
