FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;LEG IDENTIFICATION NUMBER; ; ;1012/247;1-4;N
2 M;MISSION NUMBER; ; ;1012/069;1-8;X
3 M;ICAO BASE CODE; ;A;1125/002;4;AN
;SPECIFIED GEOLOCATION CODE;G;B;1125/011;4;AN
4 M;CREW TYPE; ; ;1806/001;1;A
5 O;DAY-TIME AND MONTH OF SCHEDULED ARRIVAL; ;A;2030/044;10;AN
;JULIAN DAY-TIME OF ARRIVAL; ;B;2484/003;8;AN
6 M;AIRLIFT ACTIVITY PURPOSE; ; ;2499/001;3;AN
7 O;DAY-TIME OF DEPARTURE; ;A;2000/012;7;AN
;JULIAN DAY-TIME OF DEPARTURE; ;B;2484/002;8;AN
8 O;REQUIREMENT NUMBER; ; ;1012/248;6;X
9 O;MISSION PRIORITY IDENTIFIER; ; ;1076/010;3;AN
10 O;ROUTE COMMENT; ; ;1357/022;1-10;X
