FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;MESSAGE TEXT FORMAT IDENTIFIER; ;A;1018/002;3-20;X
;COMMUNICATION TYPE; ;B;1153/001;3;A
2 M;ORIGINATOR; ; ;1029/001;1-30;X
3 M;DAY-TIME OF REFERENCE; ;A;2000/034;7;AN
;DAY-TIME OF REFERENCE, VERIFIED; ;B;2013/033;8;AN
;DAY-TIME AND MONTH OF REFERENCE; ;C;2030/002;10;AN
;DATE-TIME MONTH OF REFERENCE, VERIFIED; ;D;2032/002;11;AN
;DTG OF REFERENCE, 4 DIGIT YR; ;E;2033/002;14;AN
;DTG OF REFERENCE, VERIFIED, 4 YR; ;F;2034/002;15;AN
;DATE OF REFERENCE, DDMMMYYYY; ;G;2001/003;9;AN
;DATE OF REFERENCE, DDMMYYYY;DMY;H;2052/002;8;N
;DATE OF REFERENCE, YYYYMMDD;YMD;I;2053/002;8;N
4 O;MESSAGE SERIAL NUMBER; ;A;1012/007;1-7;N
;DOCUMENT SERIAL NUMBER; ;B;1012/033;1-10;X
5 O;SPECIAL NOTATION; ; ;1131/001;5;A
* 6 O;SIC; ;A;1017/002;3;A
;FILING NUMBER; ;B;1012/049;1-10;X
