FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;UNIT;UNIT;A;1022/057;1-30;X
;TASKED UNIT DESIGNATOR;DESIG;B;2143/007;3-15;ANS
2 M;POSITION OR POINT NAME;NAME;A;1022/018;1-20;X
;TRUE BEARING AND DISTANCE IN NM FROM REF PT (ABBREV);BAR;B;2431/001;5-20;X
;GEOGRAPHIC POSITION, LAT/LONG, DEGREES;LAT;C;2022/001;7;AN
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;D;2023/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;E;2024/001;15;AN
;GEOGRAPHIC POSITION, UTM 1,000-METRE;UTMK;F;2088/001;9;AN
;GEOGRAPHIC POSITION, UTM 100-METRE;UTMO;G;2087/001;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE;UTMT;H;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 1-METRE;UTM;I;2089/001;15;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE;AGEOREFM;J;2019/001;6;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE;GEOREFM;K;2017/001;8;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE;AGEOREFC;L;2020/001;10;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEOREFC;M;2018/001;12;AN
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED;VLATM;N;2043/001;14;ANS
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED;VLATS;O;2044/001;18;ANS
;PORT CODE;PORT;P;1182/001;3;A
;BEARING (TRUE) AND DISTANCE (NM) FROM REFERENCE POINT;BARPT;Q;2495/001;11-27;ANBS
;GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;R;2200/001;22;ANS
;GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED;VGEOK;S;2201/001;22;ANS
;VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT;VTBAR;T;2202/001;11-36;X
;Q-ROUTE POSITION;POSIT;U;2203/001;7-13;ANS
;VERIFIED BEARING AND DISTANCE;VBAR;V;2204/001;9-16;ANS
;POSITION, TRUE BEARING AND RANGE IN NM;FBAR;W;2281/001;7-20;X
3 M;GEODETIC DATUM; ; ;1195/001;3-25;X
4 M;DAY-TIME OF POSITION;TIME;A;2000/018;7;AN
;DAY-TIME OF POSITION, VERIFIED;VTIME;B;2013/007;8;AN
5 O;FRIENDLY FORCE COURSE (TRUE) AND SPEED (KNOTS);SPEED;A;2037/003;8-10;ANS
;COURSE AND APPROXIMATE SPEED;RSPEED;B;2270/001;7-8;AN
6 O;GEOGRAPHIC ENTITIES, NOTIONAL AND ACTUAL; ; ;1026/016;2;A
7 O;DISCRETE IDENTIFIER; ; ;1625/025;4;N
