FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;RECOMPRESSION CHAMBER TYPE; ; ;1622/001;3-12;AB
2 M;RECOMPRESSION CHAMBER GAS COMPOSITION; ; ;1605/001;3-15;AB
3 M;RECOMPRESSION CHAMBER PATIENT CAPACITY; ; ;1044/229;1-2;N
4 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;A;2023/001;11;AN
;PLACE NAME;PLACE;B;1022/170;1-20;X
;GEOGRAPHIC POSITION, UTM 10-METRE; ;C;2086/001;13;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;D;2018/001;12;AN
;BEARING AND DISTANCE FROM REFERENCE POINT;BND;E;2157/001;9-54;X
;SHIP NAME;SHIP;F;1022/049;1-38;X
5 M;NOTICE AND PREPARATION TIME IN HOURS; ; ;1047/023;2;N
6 M;OXYGEN PERCENTAGE; ; ;1064/033;1-3;N
7 M;NITROGEN PERCENTAGE; ; ;1064/032;1-2;N
8 M;HELIUM PERCENTAGE; ; ;1064/019;1-2;N
