FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DAY-TIME CONTACT GAINED, VERIFIED; ;A;2013/012;8;AN
;DAY-TIME CONTACT GAINED; ;B;2000/046;7;AN
2 M;ASW MISSION EVENT; ; ;1224/003;4-7;AS
3 M;SENSOR TYPE;SENSOR;A;1434/001;2-6;AN
;ACOUSTIC INFORMATION SOURCE; ;B;1474/001;2-7;A
4 M;DAY-TIME CONTACT LOST, VERIFIED; ;A;2013/043;8;AN
;DAY-TIME CONTACT LOST; ;B;2000/047;7;AN
5 M;ASW MISSION EVENT; ; ;1224/003;4-7;AS
6 M;SENSOR TYPE;SENSOR;A;1434/001;2-6;AN
;ACOUSTIC INFORMATION SOURCE; ;B;1474/001;2-7;A
7 O;PERCENTAGE NUMBER, QUALIFIED; ; ;2301/001;4-7;ANS
