FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DAY-TIME OF TARGET SOLUTION, VERIFIED; ;A;2013/045;8;AN
;DAY-TIME OF TARGET SOLUTION; ;B;2000/050;7;AN
2 M;LAUNCH PLATFORM POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;2043/027;14;ANS
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;B;2023/001;11;AN
3 M;LAUNCH PLATFORM ALTITUDE IN HUNDREDS OF FEET; ;A;2164/002;6;AN
;FLIGHT LEVEL; ;B;2129/001;5;AN
4 M;TARGET BEARING, DEGREES/TENTHS TRUE, MAGNETIC, GRID OR REL; ; ;2263/002;4-6;ANS
5 M;TARGET RANGE, NAUTICAL MILES; ; ;2272/002;3-7;ANS
6 M;VESSEL TYPE; ; ;1036/001;2-4;A
7 O;SENSOR PLATFORM; ; ;1473/002;3-4;A
* 8 O;ACOUSTIC SENSOR; ; ;1434/005;2-6;AN
