FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 O;TARGET COURSE IN DEGREES; ;A;2065/014;4;AN
;DIRECTION OF MOVEMENT (COMPASS POINT); ;B ;1161/001;1-3;A
2 O;SPEED QUALIFIER; ; ;1672/001;3-4;A
3 O;DESCRIPTION OF MOVEMENT PATTERN; ; ;1363/038;1-20;X
4 O;DESCRIPTION OF CAMOUFLAGE EMPLOYED; ; ;1363/036;1-20;X
5 O;DESCRIPTION OF DECEPTION EMPLOYED; ; ;1363/037;1-20;X
6 O;TYPE OF CONCEALMENT; ; ;1668/003;1-30;X
7 O;DEGREE OF TARGET MASKING; ; ;1668/004;1;A
8 O;KEYPOINT QUALITY INDICATOR; ; ;1027/054;2-3;A
* 9 O;QUANTITY EQUIPMENT LOADED; ;A ;2413/001;3-25;X
;QUANTITY/UNIT - MATERIAL LOADED;MAT;B;2414/001;4-38;ANBS
