FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;GEOGRAPHICAL ENTITY; ; ;1026/001;2;A
2 O;AIRFIELD NAME OF PEACETIME LOCATION;AFLD;A;1022/219;1-38;X
;SITE NAME OF PEACETIME LOCATION;SITE;B;1022/220;1-38;X
;UNIT DESIGNATION;UNIT;C;1028/026;1-35;X
;TARGET IDENTIFICATION;TGT;D;1416/004;1-8;X
;SHIP NAME AND TYPE DESIGNATOR;SHIP;E;2425/001;4-43;X
3 O;BE NUMBER OF PEACETIME LOCATION; ; ;2002/002;10;ANS
4 C;BASIC ENCYCLOPEDIA NUMBER SUFFIX; ; ;1012/102;2;N
5 O;ARMED SERVICE; ; ;1107/001;1;A
* 6 O;AIRCRAFT IDENTIFICATION NUMBER;ACFT;A ;1012/084;1-10;X
;HULL NUMBER;HULL;B ;1012/030;1-5;X
;PENNANT NUMBER;PEN;C ;1012/046;1-10;AN
;SHIP NAME;SHIP;D ;1022/049;1-38;X
