FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;NAVAL TASK DESIGNATOR;NTD;A;2143/002;3-15;ANS
;UNIT NAME; ;B;1022/048;1-38;X
2 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;2043/001;14;ANS
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;B;2044/001;18;ANS
;PLACE NAME;PLACE;C;1022/170;1-20;X
3 M;DAY-TIME OF POSITION, VERIFIED; ;A;2013/007;8;AN
;DATE-TIME MONTH, VERIFIED; ;B;2032/001;11;AN
;LOCATING DAY-MONTH NAME; ;C;2067/004;5;AN
4 M;COURSE IN DEGREES TRUE AND SPEED IN KNOTS; ;A;2025/001;5-6;NS
;NAVAL FORCE MOVEMENT STATUS; ;B;1341/002;3-6;A
