FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;OBSTACLE NUMBER; ;A;2015/001;6;AN
;OBSTACLE NICKNAME;NAME;B;1022/168;1-21;X
2 O;OBSTACLE ZONE/BELT NUMBER; ;A;1012/141;1-14;AN
;OBSTACLE ZONE/BELT NAME;NAME;B;1022/169;1-12;AN
3 O;TASK SERIAL NUMBER; ; ;1012/132;1-10;X
* 4 M;LOCATION, UTM 1-METRE; ;A;2089/020;15;AN
;LOCATION, UTM 10-METRE; ;B;2086/020;13;AN
;LOCATION, UTM 100-METRE; ;C;2087/020;11;AN
;LOCATION, UTM 1,000-METRE; ;D;2088/020;9;AN
* 5 M;OBSTACLE TYPE, ABBREVIATED; ; ;1270/002;2;A
* 6 M;GENERIC LAND MINE TYPE; ; ;1210/004;1;A
* 7 M;OBSTACLE STATUS; ; ;1236/017;3;A
