FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;EQUIPMENT TABLE LINE NUMBER; ; ;2303/001;2-4;AN
2 M;EQUIPMENT NAME, NO MODEL/VERSION; ; ;1022/151;1-19;X
3 M;CFE EQUIPMENT MODEL OR MARK DESIGNATOR; ; ;1135/005;1-12;X
4 M;CFE EQUIPMENT SUBCATEGORY; ; ;1135/006;2-7;A
5 M;CFE EQUIPMENT RECORD NUMBER; ; ;1012/058;1-15;X
6 C;NUMBER OF ITEMS OF EQUIPMENT ACCORDING TO NOTIFICATION; ; ;1044/082;1-4;N
7 C;NUMBER OF ITEMS OF EQUIPMENT ACCORDING TO BRIEFING; ; ;1044/087;1-4;N
8 M;NUMBER OF ITEMS OF EQUIPMENT COUNTED/OBSERVED; ; ;1044/097;1-4;N
9 C;MORE OR LESS INDICATOR; ; ;1100/002;1;A
10 O;REMARK INDICATOR; ; ;2269/001;4-8;X
