FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;PLATFORM TYPE; ; ;1426/002;5-11;A
2 M;OPERATIONAL STAND-OFF RANGE, NAUTICAL MILES; ; ;2162/002;7-13;ANS
3 M;EMERGENCY STAND-OFF RANGE, NAUTICAL MILES; ; ;2162/003;7-13;ANS
4 M;SUBMARINE CLASSIFICATION/CONFIDENCE LEVEL; ; ;1123/005;4-6;AN
5 O;TIME DURATION IN MINUTES AND SECONDS; ; ;2163/001;4;N
6 O;OFFSET DISTANCE, NM; ; ;2437/002;3-7;ANS
7 O;LEVEL INDICATOR; ; ;1427/004;3-6;A
8 O;WATER DEPTH, FEET OR METRES, DECIMAL PERMITTED; ; ;2264/005;2-7;ANS
9 O;DISTANCE TO LAND, NM; ; ;2437/003;3-7;ANS
10 O;DISTANCE TO MERCHANT, NM; ; ;2437/004;3-7;ANS
