FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SERIAL NUMBER; ; ;1012/130;3;N
2 M;UNIT NAME; ; ;1022/048;1-38;X
3 M;PEACETIME LOCATION GRID REFERENCE, UTM 1-METRE; ;A;2089/002;15;AN
;SITE NAME OF PEACETIME LOCATION;PL;B;1022/220;1-38;X
4 O;DEPARTURE LOCATION GRID REFERENCE, UTM 1-METRE; ;A;2089/003;15;AN
;DEPARTURE PLACE NAME;DPN;B;1022/042;1-38;X
5 M;ESTIMATED DAY-TIME AND MONTH OF DEPARTURE; ; ;2030/020;10;AN
6 M;DAY-TIME AND MONTH OF DEPARTURE; ; ;2030/006;10;AN
7 O;REASON FOR DELAY; ; ;1318/002;3-8;A
8 M;MODE OF TRANSPORTATION; ; ;1269/001;2-4;A
9 M;ESTIMATED DAY-TIME AND MONTH OF ARRIVAL; ; ;2030/038;10;AN
10 M;LOCATION, UTM 1-METRE; ;A;2089/020;15;AN
;ARRIVAL PLACE NAME;APN;B;1022/041;1-38;X
