FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DAY-TIME, VERIFIED; ;A;2013/001;8;AN
;DAY-TIME; ;B;2000/001;7;AN
2 M;GEOGRAPHIC POSITION, UTM 10-METRE; ;A;2086/001;13;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;B;2018/001;12;AN
;POSITION OR POINT NAME;NAME;C;1022/018;1-20;X
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;D;2019/001;6;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;E;2020/001;10;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;F;2024/001;15;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;G;2087/001;11;AN
;ORIGIN, LAT/LONG, MINUTES, VERIFIED; ;H;2043/011;14;ANS
;ORIGIN, BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;I;2307/002;10-27;X
;ORIGIN, LAT/LONG, MINUTES; ;J;2023/009;11;AN
;ORIGIN PLACE NAME;ORIGIN;K;1022/109;1-20;X
;SHIP NAME;SHIP;L;1022/049;1-38;X
* 3 M;INNER RADIUS, NAUTICAL MILES; ; ;2276/002;3-6;AN
* 4 M;OUTER RADIUS, NAUTICAL MILES; ; ;2276/003;3-6;AN
* 5 M;LEFT-MOST BEARING, DEGREES TRUE; ; ;2253/002;4;AN
* 6 M;RIGHT-MOST BEARING, DEGREES TRUE; ; ;2253/003;4;AN
* 7 O;SECTOR REFERENCE NAME; ; ;1022/056;1-30;X
