FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;CONTACT NAME; ; ;1022/007;1-20;X
2 M;RANK OR POSITION; ; ;1046/002;1-16;X
3 M;UNIT DESIGNATOR; ;A;1028/043;1-24;X
;UNIT CALL SIGN;CALLSIGN;B;1129/033;1-38;X
4 M;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;A;2024/001;15;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;B;2086/001;13;AN
;LOCATION NAME;LOC;C;1022/004;1-20;X
* 5 M;NON-SECURE TELEPHONE;TEL;A;1361/003;3-20;X
;SECURE TELEPHONE NUMBER;SECTEL;B;1361/004;4-20;X
;RADIO FREQUENCY;FRQ;C;2064/001;3-14;ANS
;FREQUENCY DESIGNATOR;FRQDES;D;1396/001;1-8;AN
;FREQUENCY MODE AND NUMERIC;FREQ;E;2498/001;2-8;ANS
;ELECTRONIC MAIL ADDRESS;EMAIL;F;1183/007;1-60;X
