FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;MISSION NUMBER;1;MSNNO; ; ;1012/069;1-8;X;L
2 M;ATTACK AIRCRAFT CALL SIGN;10;ATKACCS; ; ;1129/037;1-12;X;L
3 M;RELATIVE AIRCRAFT ARRIVAL TIME;23;ATIME; ;A;2482/003;6;ANS;L
;DAY-TIME OF ARRIVAL;null;ATIME; ;B;2000/002;7;AN;L
;DAY-TIME OF ARRIVAL, VERIFIED;null;ATIME; ;C;2013/032;8;AN;L
4 M;NUMBER OF AIRCRAFT, 0-99;32;NO; ; ;1044/322;1-2;N;R
5 M;AIRCRAFT TYPE AND MODEL;35;ACTYPE;AC;A;1015/020;2-6;AN;L
;AIRCRAFT TYPE AND MODEL, OTHER;null;ACTYPE;OT;B;1015/018;2-6;AN;L
;AIRCRAFT CATEGORY, ABBREVIATED;null;ACTYPE;CT;C;1549/002;1-6;A;L
6 O;PRIMARY CONFIGURATION CODE;45;WPNTY; ; ;1012/258;1-15;X;L
