FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;CALL SIGN; ; ;1129/001;1-38;X
2 M;AIRCRAFT TYPE AND MODEL; ; ;1015/020;2-6;AN
3 M;INCIDENT POSITION, LAT/LONG, MINUTES;LATM;A;2023/018;11;AN
;LOCATION, UTM 1,000-METRE;UTMK;B;2088/020;9;AN
;TRUE BEARING AND DISTANCE IN NM FROM REF PT (ABBREV);BAR;C;2431/001;5-20;X
;ACTIVITY LOCATION NAME;NAME;D;1022/103;1-20;X
4 M;DAY-TIME OF EVENT; ; ;2000/009;7;AN
5 M;LOST CREW STATUS; ; ;1376/002;3-4;A
6 O;CAUSE OF INFLIGHT AIRCRAFT LOSS; ; ;1374/002;3-11;AS
7 O;SEARCH AND RESCUE UNIT NOTIFIED; ; ;1027/060;2-3;A
