FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;AIRLIFT PRIORITY INDICATOR; ; ;1355/001;1-2;AN
2 M;TRANSPORT AIRCRAFT TYPE; ; ;1015/003;2-6;AN
3 M;NUMBER OF AIRCRAFT ALLOCATED; ; ;1044/154;1-3;N
4 M;FLIGHT TIME IN HOURS; ; ;1047/003;1-5;NS
5 M;ALLOCATED SORTIES; ; ;1044/155;1-3;N
6 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;A;2023/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;B;2024/001;15;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;C;2087/001;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;D;2086/001;13;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE; ;E;2017/001;8;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;F;2018/001;12;AN
;ICAO LOCATION IDENTIFIER; ;G;1125/001;4;AN
;LOCATION OR POSITION NAME;N;H;1022/006;1-15;X
7 M;ETA DAY-TIME AND MONTH OF  FIRST ONLOAD POINT; ; ;2030/019;10;AN
8 O;MISSION NUMBER; ; ;1012/069;1-8;X
* 9 O;CALL SIGN; ; ;1129/001;1-38;X
