FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;Q-ROUTE POINT DESIGNATOR; ;A;2005/001;4-8;ANS
;ATP-1 POSITION DESIGNATOR; ;B;1612/001;2;A
2 O;GEODETIC DATUM; ; ;1195/001;3-25;X
3 O;GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;A;2044/001;18;ANS
;GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED; ;B;2200/001;22;ANS
;GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED; ;C;2201/001;22;ANS
;PLACE NAME;N;D;1022/170;1-20;X
;VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT; ;E;2202/001;11-36;X
;Q-ROUTE POSITION;POSIT;F;2203/001;7-13;ANS
;GEOGRAPHIC POSITION, UTM 1,000-METRE; ;G;2088/001;9;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;H;2087/001;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;I;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 1-METRE; ;J;2089/001;15;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;K;2019/001;6;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE; ;L;2017/001;8;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;M;2020/001;10;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;N;2018/001;12;AN
4 O;GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;A;2044/001;18;ANS
;GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED; ;B;2200/001;22;ANS
;GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED; ;C;2201/001;22;ANS
;PLACE NAME;N;D;1022/170;1-20;X
;VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT; ;E;2202/001;11-36;X
;Q-ROUTE POSITION;POSIT;F;2203/001;7-13;ANS
;GEOGRAPHIC POSITION, UTM 1,000-METRE; ;G;2088/001;9;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;H;2087/001;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;I;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 1-METRE; ;J;2089/001;15;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;K;2019/001;6;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE; ;L;2017/001;8;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;M;2020/001;10;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;N;2018/001;12;AN
5 O;VERIFIED CHANNEL DIRECTION; ; ;2079/002;5-7;ANS
6 O;CHANNEL LENGTH, NAUTICAL MILES, VERIFIED; ; ;2206/002;4-8;ANS
7 O;CHANNEL WIDTH, METRES OR YARDS, VERIFIED; ; ;2207/002;3-7;AN
8 O;TIDAL STREAM COURSE AND SPEED, WITH DECIMAL PLACES, VERIFIED; ; ;2205/002;11-16;ANS
9 O;DAY-TIME START; ; ;2000/014;7;AN
10 O;DAY-TIME AND MONTH OF START; ; ;2030/003;10;AN
11 O;DTG OF ACTIVATION, 4 DIGIT YR; ; ;2033/038;14;AN
12 O;DAY-TIME STOP; ; ;2000/015;7;AN
13 O;DAY-TIME AND MONTH OF STOP; ; ;2030/004;10;AN
14 O;DTG OF DEACTIVATION, 4 DIGIT YR; ; ;2033/039;14;AN
15 O;DANBUOY LINE OFFSET, METRES OR YARDS, VERIFIED; ; ;2036/001;5-9;ANS
16 O;VERIFIED DANLINE DIRECTION; ; ;2079/003;5-7;ANS
17 O;NUMBER OF DANBUOYS; ; ;1044/056;1-2;N
18 O;DANBUOY SPACING, METRES OR YARDS, VERIFIED; ; ;2208/002;3-7;AN
