FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TARGET ELEMENT DESCRIPTION; ;A;1363/007;1-20;X
;EQUIPMENT TYPE;EQPT;B;1135/001;1-20;X
2 M;NUMBER OF TARGET ELEMENTS; ;A;1044/083;1-4;N
;NUMBER OF ITEMS OF EQUIPMENT COUNTED/OBSERVED;EQP;B;1044/097;1-4;N
;TARGET/EQUIPMENT PERCENTAGE COVERED;PCT;C;1064/043;1-3;N
3 M;OPERATIONAL STATUS OF TARGET; ; ;1236/027;3-7;A
4 O;IMAGERY CONFIRMATION; ; ;1027/007;2-3;A
* 5 O;ACTIVITY TYPE, LITERAL; ; ;1299/010;1-13;AB
* 6 C;ACTIVITY LOCATION, UTM 10-METRE; ;A ;2086/041;13;AN
;ACTIVITY LOCATION, UTM 100-METRE; ;B ;2087/047;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;C ;2024/001;15;AN
;TRUE BEARING AND DISTANCE; ;D ;2410/001;6-11;ANS
;AUTOMATED TACTICAL TARGET GRAPHIC ANNOTATION; ;E;1411/002;2-3;AN
;POINT DESIGNATION TEMPLATE;PDT;F;2412/001;12-16;ANBS
* 7 O;DESIRED MEAN POINT OF IMPACT; ; ;1412/002;5;AN
* 8 O;WEAPON IMPACT POINT, UTM 10-METRE; ;A;2086/044;13;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;B ;2087/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;C ;2024/001;15;AN
;TRUE BEARING AND DISTANCE; ;D ;2410/001;6-11;ANS
;AUTOMATED TACTICAL TARGET GRAPHIC ANNOTATION; ;E ;1411/002;2-3;AN
;POINT DESIGNATION TEMPLATE;PDT;F;2412/001;12-16;ANBS
