FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;PHONETIC ALPHABETIC OR NUMERIC IDENTIFIER; ;A;1128/007;3-8;A
;PHONETIC ALPHABETIC-NUMERIC IDENTIFIER; ;B;2406/001;8-14;AB
;PHONETIC IDENTIFIER; ;C;2407/001;8-14;AB
;DUAL SUBMARINE TRACK IDENTIFIERS; ;D;2198/001;5-7;AS
2 M;RECTANGULAR MOVING HAVEN DIMENSIONS, NM, VERIFIED; ;A;2199/001;8-13;AN
;NON-DISCRETE INDICATOR, AS REQUIRED; ;B;1084/002;7;AB
3 M;SPEED OF ADVANCE (SOA), KNOTS, VERIFIED; ;A;2332/005;5-8;ANS
;NON-DISCRETE INDICATOR, AS REQUIRED; ;B;1084/002;7;AB
4 M;SUBMARINE TRACK TYPE; ;A;1372/002;2-3;A
;NON-DISCRETE INDICATOR, AS REQUIRED; ;B;1084/002;7;AB
