FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SONOBUOY PATTERN TYPE; ; ;1399/001;3-8;A
2 M;ROW ORIENTATION, DEGREES TRUE, MAGNETIC, GRID OR RELATIVE; ; ;2257/002;4;AN
3 M;NUMBER OF SONOBUOYS PER ROW; ; ;1044/194;1-2;N
4 M;SPACING BETWEEN SONOBUOYS, YD, KYD OR NM; ; ;2434/002;3-8;ANS
5 O;SPACING BETWEEN SONOBUOY ROWS, YD, KYD OR NM; ; ;2434/003;3-8;ANS
6 O;NUMBER OF SONOBUOY ROWS; ; ;1044/195;1-2;N
7 O;NUMBER OF SONOBUOYS IN PATTERN; ; ;1044/196;1-2;N
8 O;SPACING, MDR; ; ;2267/002;4-7;ANS
9 O;PROBABILITY OF DETECTION; ; ;1064/011;1-3;N
10 O;FIRST CZ MINIMUM-MAXIMUM RANGE; ; ;2289/002;5-11;ANS
11 O;WEDGE ANGLE, DEGREES, (1-180); ;A;2293/002;4-6;AN
;DIRECTION OF WALK, DEGREES TRUE; ;B;2253/006;4;AN
