FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SENSOR AND IMAGE TYPE; ; ;2409/001;2;A
2 O;SENSOR POSITION; ; ;1677/003;2-3;AN
3 O;IMAGE NUMBER; ; ;1012/238;1-14;ANS
4 O;IMAGE QUALIFIER; ; ;1677/006;1-2;A
5 O;IMAGERY SCALE; ; ;1079/003;1-6;AN
6 O;PERCENT OF COVERAGE; ; ;1064/044;1-3;N
7 O;MAJOR WEATHER CONDITION; ; ;1386/009;2;A
8 O;ENVIRONMENTAL EFFECTS ON IMAGES; ; ;1730/002;2;A
9 O;IMAGERY MISSION DATE, YYYYMMDD; ; ;2053/003;8;N
10 O;IMAGERY MISSION NUMBER; ; ;1012/237;1-7;X
11 O;PROJECT, REPORT OR MESSAGE IDENTIFIER; ; ;1102/012;2;A
12 O;ANGLE OF IMAGERY COVERAGE; ;A;1433/002;1;A
;IMAGERY COVERAGE EXTENT AND MODE; ;B ;1677/004;1;A
13 O;IMAGE QUALITY; ; ;1675/002;1;A
