FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;MISSION NUMBER;1;MSNNO; ; ;1012/069;1-8;X;L
2 M;TYPE OF CONTROL AGENCY;10;CONT; ; ;1395/003;3-4;A;L
3 M;CALL SIGN OF CONTROL AGENCY;15;CALLSIGN; ; ;1129/010;1-15;X;L
4 M;PRIMARY FREQUENCY IN MEGAHERTZ;31;PRIFRQ; ;A;1068/003;3-8;NS;L
;PRIMARY FREQUENCY DESIGNATOR;null;PRIFRQ; ;B;1396/002;1-8;AN;L
5 O;SECONDARY FREQUENCY IN MEGAHERTZ;40;SECFRQ; ;A;1068/004;3-8;NS;L
;SECONDARY FREQUENCY DESIGNATOR;null;SECFRQ; ;B;1396/003;1-8;AN;L
6 O;REPORT-IN POINT, LAT/LONG, MINUTES;49;REPIN; ;A;2023/048;11;AN;L
;REPORT-IN POINT, GEOREF, MINUTE;null;REPIN; ;B;2017/010;8;AN;L
;REPORT-IN POINT, TRUE BEARING AND DISTANCE IN NM;null;REPIN; ;C;2431/004;5-20;X;L
;REPORT-IN POINT NAME;null;REPIN;N;D;1022/106;1-18;X;L
;REPORT-IN POINT, UTM 10-METRE;null;REPIN; ;E;2086/040;13;AN;L
;REPORT-IN POINT, UTM 100-METRE;null;REPIN; ;F;2087/040;11;AN;L
