FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;AIRCRAFT TYPE;TYPE;A;1015/001;2-10;X
;AIRCRAFT ROLE; ;B;1010/006;3;A
2 M;DAY-TIME OF INCIDENT; ; ;2000/025;7;AN
3 M;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;A;2024/001;15;AN
;LOCATION, UTM 10-METRE; ;B;2086/020;13;AN
;INCIDENT POSITION, LAT/LONG, MINUTES; ;C;2023/018;11;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE; ;D;2017/001;8;AN
;TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;E;2016/001;6-46;X
;LOCATION OR POSITION NAME;N;F;1022/006;1-15;X
;ACTIVITY LOCATION, UTM ABBREVIATED, 100-METRE; ;G;2126/002;8;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;H;2018/001;12;AN
4 O;LOCATION QUALIFIER; ; ;1118/001;2;A
5 O;ALTITUDE IN HUNDREDS OF FEET; ; ;1255/001;3;N
6 O;AIRCRAFT CALL SIGN; ; ;1129/009;1-38;X
7 O;COLOUR; ; ;1138/001;3-6;A
8 O;CAMOUFLAGE INDICATOR;CAM; ;1402/001;3;A
9 O;AIRCRAFT TAIL LETTERS AND SIDE NUMBER; ; ;1012/097;2-8;AN
10 O;CAUSE OF AIRCRAFT LOSS; ; ;1374/001;3-11;AS
11 O;COUNT OF PERSONNEL ON BOARD;POB; ;1044/132;1-3;AN
12 C;DATA QUALIFIER;QLF; ;1130/002;3;A
* 13 O;PERSONNEL COUNT; ; ;1044/133;1-3;AN
* 14 C;DOWNED AIRCRAFT CREW STATUS; ; ;1376/001;3-4;A
