FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;POSITION OR POINT NAME;1;POSITION OR POINT;N;A;1022/018;1-20;X;L
;POSITION OR POINT, TRUE BEARING AND DISTANCE IN NM;null;POSITION OR POINT; ;B;2431/003;5-20;X;L
;GEOGRAPHIC POSITION, LAT/LONG, DEGREES;null;POSITION OR POINT; ;C;2022/001;7;AN;L
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;null;POSITION OR POINT; ;D;2023/001;11;AN;L
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;null;POSITION OR POINT; ;E;2024/001;15;AN;L
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE;null;POSITION OR POINT; ;F;2019/001;6;AN;L
;GEOGRAPHIC POSITION, GEOREF, MINUTE;null;POSITION OR POINT; ;G;2017/001;8;AN;L
;GEOGRAPHIC POSITION, LAT/LONG, DEGREES, VERIFIED;null;POSITION OR POINT; ;H;2042/001;10;ANS;L
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED;null;POSITION OR POINT; ;I;2043/001;14;ANS;L
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED;null;POSITION OR POINT; ;J;2044/001;18;ANS;L
;GEOGRAPHIC POSITION, UTM 1,000-METRE;null;POSITION OR POINT; ;K;2088/001;9;AN;L
;GEOGRAPHIC POSITION, UTM 100-METRE;null;POSITION OR POINT; ;L;2087/001;11;AN;L
;GEOGRAPHIC POSITION, UTM 10-METRE;null;POSITION OR POINT; ;M;2086/001;13;AN;L
;ROUTE POINT, ICAO IDENTIFIER;null;POSITION OR POINT; ;N;1125/006;4;AN;L
2 M;DAY-TIME OF POSITION;24;TIME; ;A;2000/018;7;AN;L
;DAY-TIME OF POSITION, VERIFIED;null;TIME; ;B;2013/007;8;AN;L
3 O;FLIGHT EVENT;33;FLT EVENT; ; ;1224/002;2-13;AB;L
4 O;FLIGHT LEVEL;47;ALTITUDE; ;A;2129/001;5;AN;L
;ALTITUDE IN HUNDREDS OF FEET;null;ALTITUDE; ;B;1255/001;3;N;R
;FLIGHT LEVEL BAND;null;ALTITUDE; ;C;2099/001;11;ANS;L
;ALTITUDE BAND;null;ALTITUDE; ;D;2100/001;7;NS;L
;ALTITUDE-FLIGHT LEVEL BAND;null;ALTITUDE; ;E;2101/001;9;ANS;L
