FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;COMMUNICATIONS EVENT; ;A;1224/004;5-11;A
;EMISSION CONTROL PLAN IDENTIFIER;EMCON;B;1128/008;1-8;AN
2 M;DAY-TIME OF EVENT; ;A;2000/009;7;AN
;DAY-TIME OF EVENT, VERIFIED; ;B;2013/034;8;AN
3 O;DAY-TIME OF TERMINATION; ;A;2000/010;7;AN
;DAY-TIME,OF TERMINATION, VERIFIED; ;B;2013/035;8;AN
;TERMINATION TIME QUALIFIER; ;C;1220/004;3-5;A
* 4 M;COMMUNICATIONS CIRCUIT NAME;CCN;A;1022/067;1-50;AB
;COMMUNICATIONS CIRCUIT DESIGNATOR; ;B;1305/002;5-8;AN
;SYSTEM DESIGNATION NAME;SDN;C;1022/046;1-50;X
;UNIT IDENTIFIER;UNIT ID;D;1028/001;1-20;X
