FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;GEOGRAPHIC POSITION, LAT/LONG, THOUSANDTHS OF MINUTE;GEOK;A;2496/001;19;ANS
;LOCATION, DECISECONDS;LATDS;B;2187/001;19;ANS
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;C;2024/001;15;AN
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;D;2023/001;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE;UTMT;E;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 100-METRE;UTMO;F;2087/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;G;2200/001;22;ANS
2 O;TARGET POSITION NAME;NAME;A;1022/081;1-20;X
;TARGET POSITION IDENTIFIER;ID;B;1416/002;1-20;X
3 O;RADIUS, IN, FT, YD, KF, SM, NM, MM, CM, M, KM, HM;RAD;A;2490/001;2-6;AN
;WIDTH, IN, FT, YD, KF, SM, NM, MM, CM, M, KM, HM;WDTH;B;2491/001;2-7;ANS
;ELLIPTICAL AREA, 5 CHAR MAX UNIT AXIS;ELP;C;2494/001;11-21;ANS
4 M;GEODETIC DATUM; ; ;1195/001;3-25;X
* 5 O;GEOGRAPHIC POSITION, LAT/LONG, THOUSANDTHS OF MINUTE;GEOK;A;2496/001;19;ANS
;LOCATION, DECISECONDS;LATDS;B;2187/001;19;ANS
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;C;2024/001;15;AN
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;D;2023/001;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE;UTMT;E;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 100-METRE;UTMO;F;2087/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;G;2200/001;22;ANS
