FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;LANE OR GAP IDENTIFIER; ; ;1662/005;1;A
2 M;LANE/GAP WIDTH IN METRES; ; ;1658/019;1-3;NS
* 3 M;ENTRY POINT, UTM 1-METRE LOCATION; ;A;2089/032;15;AN
;ENTRY POINT LOCATION, UTM 10-METRE; ;B;2086/054;13;AN
;ENTRY POINT LOCATION, UTM 100-METRE; ;C;2087/054;11;AN
;ENTRY POINT LOCATION, UTM 1,000-METRE; ;D;2088/037;9;AN
* 4 M;EXIT POINT LOCATION, UTM 1-METRE; ;A;2089/035;15;AN
;EXIT POINT LOCATION, UTM 10-METRE; ;B;2086/057;13;AN
;EXIT POINT LOCATION, UTM 100-METRE; ;C;2087/057;11;AN
;EXIT LOCATION, UTM 1,000-METRE; ;D;2088/040;9;AN
