FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SHIP IDENTIFICATION;ID;A;2021/001;4-10;X
;UNIT;SHIP;B;1022/057;1-30;X
;BASE NAME;BASE;C;1022/104;1-20;X
;PLACE NAME;PLACE;D;1022/170;1-20;X
;TASK ORGANIZATION COMMANDER;CDR;E;1037/003;1-20;X
;CALL SIGN;CS;F;1129/001;1-38;X
;STATION DESIGNATOR;STAT;G;1022/185;1-10;X
;UNIT DESIGNATION;UNIT;H;1028/026;1-35;X
;AIRCRAFT TYPE/MODEL;AC;I;1015/004;2-6;AN
;INTERFACE UNIT DESIGNATOR;IUD;J;2367/001;6-11;ANS
2 M;TRANSMIT/RECEIVE DESIGNATOR; ; ;1484/003;1-2;A
3 M;FILTER AREA; ;A;1627/004;3-8;AB
;RANGE FILTER IN NAUTICAL MILES;RGFLTR;B;1089/007;3;N
* 4 O;ENVIRONMENTAL CATEGORY FILTER; ; ;1628/003;2;A
* 5 O;IDENTIFICATION FILTER; ; ;1628/004;2;A
* 6 O;SPECIAL FILTER; ; ;1628/005;2-3;A
