FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DAY-TIME OF ARRIVAL, VERIFIED; ;A;2013/032;8;AN
;DATE-TIME MONTH OF ARRIVAL, VERIFIED; ;B;2032/006;11;AN
2 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;2043/001;14;ANS
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;B;2044/001;18;ANS
;GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED; ;C;2200/001;22;ANS
;PLACE NAME; ;D;1022/170;1-20;X
;VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT; ;E;2202/001;11-36;X
;Q-ROUTE POSITION; ;F;2203/001;7-13;ANS
3 O;DAY-TIME OF DEPARTURE, VERIFIED; ;A;2013/031;8;AN
;DATE-TIME MONTH OF DEPARTURE, VERIFIED; ;B;2032/007;11;AN
