FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;BASE NAME; ; ;1022/104;1-20;X
* 2 M;GUARD UNIT NAME; ; ;1022/128;1-38;X
* 3 M;SECONDARY GUARD SHIP; ; ;1022/132;1-38;X
* 4 M;SHIP-SHORE KEYMAT; ; ;1078/006;8-10;AN
* 5 M;SHIP NAME; ;A;1022/049;1-38;X
;UNIT;UNIT;B;1022/057;1-30;X
;NAVAL TASK DESIGNATOR;NTD;C;2143/002;3-15;ANS
* 6 M;DAY-TIME OF START, VERIFIED; ;A;2013/008;8;AN
;DATE-TIME MONTH OF START, VERIFIED; ;B;2032/003;11;AN
* 7 M;DAY-TIME OF STOP, VERIFIED; ;A;2013/009;8;AN
;DATE-TIME MONTH OF STOP, VERIFIED; ;B;2032/004;11;AN
