FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;CONTACT SERIAL NUMBER; ; ;1012/067;1-3;N
2 M;UNIT; ;A;1022/057;1-30;X
;TRADEMARK;TM;B;1416/003;1-30;X
3 M;LOCATING REPORT NUMBER; ;A;2296/001;3-4;AN
;NOT REPORTED IN FLIGHT; ;B;1449/001;4;A
4 M;SUBMARINE CLASSIFICATION/CONFIDENCE LEVEL; ; ;1123/005;4-6;AN
5 M;FLAG; ; ;1026/003;2;A
6 M;SUBMARINE PROPULSION TYPE; ; ;1339/001;3-6;ANS
7 O;SUBMARINE TYPE; ;A;1036/002;2-4;A
;SUBMARINE CLASS NAME; ;B;1038/001;3-10;X
8 O;CREDIBILITY; ; ;1461/001;3-4;A
9 O;CONTACT PHOTO STATUS; ; ;1450/001;3;A
10 O;SHIP CONTROL NUMBER; ; ;2282/001;6;AN
11 O;NATO SUBMARINE CONTACT DESIGNATOR;SUB;A;2152/001;4;N
;DISCRETE IDENTIFIER; ;B;1625/025;4;N
