FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;NATIVE RANK; ; ;1046/003;1-54;X
2 M;ALLEGIANCE; ; ;1026/017;2;A
3 M;SERVICE; ; ;1107/006;1;A
4 M;GRADE; ; ;1483/003;2;AN
5 M;MILITARY RANK OR RATE AND RATING; ; ;1483/001;3-5;ANS
6 M;SPECIALIZATION; ; ;1090/004;1-2;A
7 M;PROFESSION; ; ;1046/004;1-54;X
8 C;PROMOTION DATE, YYYYMMDD; ; ;2053/014;8;N
9 O;START DATE OF SERVICE, YYYYMMDD; ; ;2053/010;8;N
10 O;END DATE OF SERVICE, YYYYMMDD; ; ;2053/011;8;N
11 O;COMMENTS; ; ;1357/001;1-68;X
