FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;MISSION NUMBER;1;MSNNO; ; ;1012/069;1-8;X;L
2 M;RECEIVER CALL SIGN;10;RECCS; ; ;1129/035;1-12;X;L
3 M;NUMBER OF AIRCRAFT, 0-99;23;NO; ; ;1044/322;1-2;N;R
4 M;AIRCRAFT TYPE AND MODEL;26;ACTYPE;AC;A;1015/020;2-6;AN;L
;AIRCRAFT TYPE AND MODEL, OTHER;null;ACTYPE;OT;B;1015/018;2-6;AN;L
5 M;FUEL IN THOUSANDS OF POUNDS, DECIMAL POINT PERMITTED;36;OFLD;KLBS; ;1578/004;3-5;NS;R
6 M;DAY-TIME OF AIR REFUELLING CONTROL;47;ARCT; ; ;2000/081;7;AN;L
7 O;CELL SEQUENCE NUMBER;55;SEQ; ;A;1012/253;1;N;R
;CELL SEQUENCE NUMBERS;null;SEQ; ;B;2436/001;3;NS;R
8 O;REFUELLING FUEL GRADE;59;TYP; ;A;1803/004;3;AN;L
;NATO STANDARD AIRCRAFT FUEL TYPE;null;TYP; ;B;1172/004;3;AN;L
9 O;AERIAL REFUELLING SYSTEM, SPECIFIC;63;ARS; ; ;1579/002;3;A;L
