FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;HEADQUARTERS TYPE; ; ;1311/009;3-5;A
2 M;ACTUAL LOCATION, UTM 1-METRE; ;A;2089/033;15;AN
;ACTUAL LOCATION, UTM 10-METRE; ;B;2086/055;13;AN
;ACTUAL LOCATION, UTM 100-METRE; ;C;2087/055;11;AN
;ACTUAL LOCATION, UTM 1,000-METRE; ;D;2088/038;9;AN
3 M;DTG OF CLOSURE, 4 DIGIT YR; ; ;2033/057;14;AN
* 4 O;PLANNED LOCATION, UTM 1-METRE; ;A;2089/034;15;AN
;PLANNED LOCATION, UTM 10-METRE; ;B;2086/056;13;AN
;PLANNED LOCATION, UTM 100-METRE; ;C;2087/056;11;AN
;PLANNED LOCATION, UTM 1,000-METRE; ;D;2088/039;9;AN
* 5 C;DTG PLANNED TO BECOME EFFECTIVE, 4 DIGIT YR; ; ;2033/025;14;AN
* 6 C;DTG OF CLOSURE, 4 DIGIT YR; ; ;2033/057;14;AN
