FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;NUMBER OF PAGES OF REPORT; ; ;1044/200;1-3;N
2 C;NUMBER OF PHOTOS OF REPORT; ; ;1044/201;1-3;N
3 C;DATE CALENDAR REPORTING PERIOD BEGINS, DDMMYYYY; ; ;2052/008;8;N
4 C;DATE CALENDAR REPORTING PERIOD ENDS, DDMMYYYY; ; ;2052/009;8;N
5 C;ACCESS GRANTED INDICATOR; ; ;1027/014;2-3;A
6 C;ASSURANCE GIVEN TLE PRESENT INDICATOR; ; ;1027/015;2-3;A
7 C;TLE ASSIGNMENT INDICATOR; ; ;1027/018;2-3;A
8 C;INSPECTION DESIGNATION INDICATOR; ; ;1027/019;2-3;A
9 O;DELAY TIME PERIOD IN HOURS AND MINUTES; ; ;2041/003;4;N
10 O;TRAVEL TIME PERIOD IN HOURS AND MINUTES; ; ;2041/005;4;N
