FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;GEOGRAPHICAL ENTITY; ; ;1026/001;2;A
2 M;NAME, INDIVIDUAL; ; ;1022/013;1-50;X
3 M;PERSONNEL GENDER; ; ;1286/002;4-6;A
4 M;PERSONAL IDENTIFICATION NUMBER; ; ;1012/230;1-20;X
5 M;DISPOSITION OF PERSONAL EFFECTS; ; ;1011/001;5-9;A
6 O;MILITARY RANK OR RATE AND RATING; ; ;1483/001;3-5;ANS
7 O;RELIGION; ; ;1016/001;4-31;ABS
8 O;UNIT; ; ;1022/057;1-30;X
9 O;DATE OF BIRTH, DDMMYYYY; ; ;2052/012;8;N
10 O;DATE OF DEATH, DDMMYYYY; ;A ;2052/011;8;N
;ESTIMATED DATE OF DEATH, DDMMYYYY;ESTD;B ;2052/013;8;N
11 O;CAUSE OF DEATH; ; ;1557/001;4-15;ABS
