FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;LOCATION OR POSITION NAME;N;A;1022/006;1-15;X
;SHIP NAME; ;B;1022/049;1-38;X
2 M;RELOCATION COUNTRY; ; ;1026/004;2;A
3 M;GEOGRAPHIC POSITION, UTM 1,000-METRE; ;A;2088/001;9;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;B;2087/001;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;C;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 1-METRE; ;D;2089/001;15;AN
;GEOGRAPHIC POSITION, LAT/LONG, DEGREES; ;E;2022/001;7;AN
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;F;2023/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;G;2024/001;15;AN
;NICS RELOCATION CODE; ;H;1263/002;3-4;AN
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;I;2043/001;14;ANS
