FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SHIP NAME; ;A;1022/049;1-38;X
;SHIP IDENTIFICATION;S;B;2021/001;4-10;X
2 M;DAY-TIME OF INCIDENT; ; ;2000/025;7;AN
3 M;INCIDENT POSITION, LAT/LONG, MINUTES; ;A;2023/018;11;AN
;TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;B;2016/001;6-46;X
;LOCATION OR POSITION NAME;N;C;1022/006;1-15;X
4 M;RADIUS, FT, YD, NM, M, KM, KYD; ; ;2432/001;2-8;ANS
5 M;LOCATION QUALIFIER; ; ;1118/001;2;A
6 M;SHIP CALL SIGN; ; ;1129/007;1-20;X
7 M;COLOUR; ; ;1138/001;3-6;A
8 O;COUNT OF PERSONNEL ON BOARD;POB; ;1044/132;1-3;AN
9 C;DATA QUALIFIER;QLF; ;1130/002;3;A
