FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 O;AREA NAME; ; ;1022/069;1-38;X
* 2 C;POSITION OR POINT NAME;N;A;1022/018;1-20;X
;GEOGRAPHIC POSITION, LAT/LONG, DEGREES; ;B;2022/001;7;AN
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;C;2023/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;D;2024/001;15;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;E;2019/001;6;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE; ;F;2017/001;8;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;G;2020/001;10;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;H;2018/001;12;AN
;GEOGRAPHIC POSITION, UTM 1,000-METRE; ;I;2088/001;9;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;J;2087/001;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;K;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 1-METRE; ;L;2089/001;15;AN
;BEARING AND DISTANCE FROM REFERENCE POINT; ;M;2157/001;9-54;X
;TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;N;2016/001;6-46;X
;Q-ROUTE POSITION;POSIT;O;2203/001;7-13;ANS
