FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ACOUSTIC DETECTION MODE; ; ;1442/001;3;A
2 M;DAY-TIME OF DETECTION, VERIFIED; ;A;2013/015;8;AN
;DAY-TIME OF DETECTION; ;B;2000/027;7;AN
3 M;ACOUSTIC DETECTION TYPE; ; ;1443/001;2-4;A
4 M;FREQUENCY DETECTED; ; ;2283/002;3-8;ANS
5 M;NUMBER OF SONOBUOYS IN THE PATTERN GAINING CONTACT; ; ;1044/197;1-4;N
6 M;SONOBUOY DEPTH SETTING, FEET OR METRES, DECIMAL PERMITTED; ; ;2264/002;2-7;ANS
7 M;ASW DISPLAY MODE; ; ;1446/001;3;A
8 M;INTEGRATION TIME RESOLUTION SETTING; ; ;1447/001;1-2;AN
9 M;PROCESSOR RESOLUTION SETTING; ; ;1448/001;3;AN
10 M;PROCESSOR INTEGRATION TIME IN MINUTES; ; ;1072/002;1-3;NS
